s0_level,global_index,value,degree,minimal_polynomial
5,1145,3.84273,10,1-2 t-5 t^2-5 t^3-8 t^4-11 t^5-8 t^6-5 t^7-5 t^8-2 t^9+t^10
5,1146,3.84279,8,1-5 t+4 t^2+4 t^3-10 t^4+4 t^5+4 t^6-5 t^7+t^8
5,1147,3.84402,10,1-3 t-4 t^2+2 t^3+3 t^4+t^5+3 t^6+2 t^7-4 t^8-3 t^9+t^10
5,1149,3.84579,8,1-5 t+7 t^2-12 t^3+11 t^4-12 t^5+7 t^6-5 t^7+t^8
5,1150,3.84683,8,1-3 t-2 t^2-4 t^3-2 t^4-4 t^5-2 t^6-3 t^7+t^8
5,1151,3.84729,8,1-4 t+t^2-t^3-2 t^4-t^5+t^6-4 t^7+t^8
5,1152,3.84795,10,1-4 t+t^2-2 t^3+t^4+2 t^5+t^6-2 t^7+t^8-4 t^9+t^10
5,1154,3.84964,10,1-6 t+11 t^2-14 t^3+18 t^4-21 t^5+18 t^6-14 t^7+11 t^8-6 t^9+t^10
5,1155,3.84987,8,1-3 t-4 t^2+t^3+7 t^4+t^5-4 t^6-3 t^7+t^8
5,1156,3.85005,8,1-2 t-4 t^2-9 t^3-9 t^4-9 t^5-4 t^6-2 t^7+t^8
5,1157,3.85028,10,1-3 t-3 t^2-2 t^3+2 t^4+6 t^5+2 t^6-2 t^7-3 t^8-3 t^9+t^10
5,1159,3.85117,8,1-4 t+t^2-3 t^3+6 t^4-3 t^5+t^6-4 t^7+t^8
5,1160,3.85211,10,1-2 t-6 t^2-4 t^3-t^4-t^5-t^6-4 t^7-6 t^8-2 t^9+t^10
5,1161,3.85263,8,1-2 t-6 t^2-4 t^3-4 t^5-6 t^6-2 t^7+t^8
5,1162,3.85303,8,1-5 t+6 t^2-7 t^3+5 t^4-7 t^5+6 t^6-5 t^7+t^8
5,1163,3.85358,10,1-6 t+10 t^2-6 t^3-5 t^4+11 t^5-5 t^6-6 t^7+10 t^8-6 t^9+t^10
5,1164,3.85451,8,1-3 t-3 t^2-t^3-t^5-3 t^6-3 t^7+t^8
5,1166,3.8559,8,1-2 t-5 t^2-6 t^3-7 t^4-6 t^5-5 t^6-2 t^7+t^8
5,1167,3.85771,8,1-4 t+2 t^3+2 t^5-4 t^7+t^8
5,1168,3.8579,10,1-3 t-2 t^2-4 t^3-3 t^4-3 t^5-3 t^6-4 t^7-2 t^8-3 t^9+t^10
5,1169,3.85832,8,1-4 t+2 t^2-6 t^3+3 t^4-6 t^5+2 t^6-4 t^7+t^8
5,1170,3.85843,8,1-3 t-2 t^2-3 t^3-7 t^4-3 t^5-2 t^6-3 t^7+t^8
5,1172,3.86004,10,1-4 t+t^2-t^3-4 t^4+5 t^5-4 t^6-t^7+t^8-4 t^9+t^10
5,1173,3.86118,8,1-5 t+5 t^2-2 t^3-t^4-2 t^5+5 t^6-5 t^7+t^8
5,1174,3.86263,8,1-6 t+11 t^2-13 t^3+12 t^4-13 t^5+11 t^6-6 t^7+t^8
5,1176,3.86402,8,1-5 t+5 t^2-3 t^3+3 t^4-3 t^5+5 t^6-5 t^7+t^8
5,1177,3.86458,10,1-4 t+t^2-3 t^3+4 t^4+t^5+4 t^6-3 t^7+t^8-4 t^9+t^10
5,1180,3.86624,6,1-4 t+2 t^2-6 t^3+2 t^4-4 t^5+t^6
5,1181,3.86676,8,1-4 t+t^2-2 t^3+t^4-2 t^5+t^6-4 t^7+t^8
5,1184,3.86896,8,1-4 t+t^2-3 t^3+5 t^4-3 t^5+t^6-4 t^7+t^8
5,1186,3.87013,8,1-3 t-3 t^2-2 t^3+3 t^4-2 t^5-3 t^6-3 t^7+t^8
5,1191,3.87509,10,1-4 t+2 t^2-6 t^3+2 t^4-6 t^5+2 t^6-6 t^7+2 t^8-4 t^9+t^10
5,1192,3.87528,10,1-5 t+6 t^2-8 t^3+8 t^4-8 t^5+8 t^6-8 t^7+6 t^8-5 t^9+t^10
5,1194,3.87715,10,1-2 t-5 t^2-6 t^3-8 t^4-9 t^5-8 t^6-6 t^7-5 t^8-2 t^9+t^10
5,1196,3.87841,8,1-3 t-t^2-8 t^3-3 t^4-8 t^5-t^6-3 t^7+t^8
5,1198,3.87958,10,1-4 t-t^2+6 t^3-5 t^5+6 t^7-t^8-4 t^9+t^10
