s0_level,global_index,value,degree,minimal_polynomial
4,298,2.883836976,8, 1 - 2*t - t^2 - 3*t^3 - 3*t^4 - 3*t^5 - t^6 - 2*t^7 + t^8
4,299,2.890053638,4, 1 - 2*t - 2*t^2 - 2*t^3 + t^4
4,300,2.895148969,10, 1 - 4*t^2 - 8*t^3 - 9*t^4 - 9*t^5 - 9*t^6 - 8*t^7 - 4*t^8 + t^10
4,301,2.899206804,10, 1 - t - 5*t^2 - 4*t^3 + 4*t^4 + 9*t^5 + 4*t^6 - 4*t^7 - 5*t^8 - t^9 + t^10
4,302,2.900420764,10, 1 - 2*t - 2*t^2 - 2*t^3 + t^4 - t^5 + t^6 - 2*t^7 - 2*t^8 - 2*t^9 + t^10
4,303,2.901982143,10, 1 - 2*t - 3*t^2 + 2*t^4 + 3*t^5 + 2*t^6 - 3*t^8 - 2*t^9 + t^10
4,304,2.902442161,6, 1 - 5*t + 9*t^2 - 11*t^3 + 9*t^4 - 5*t^5 + t^6
4,306,2.909745354,6, 1 - 2*t - 2*t^2 - t^3 - 2*t^4 - 2*t^5 + t^6
4,307,2.911938436,8, 1 - 2*t - 2*t^2 - t^3 - 2*t^4 - t^5 - 2*t^6 - 2*t^7 + t^8
4,308,2.913072205,8, 1 - 3*t + t^3 - t^4 + t^5 - 3*t^7 + t^8
4,309,2.91514221,10, 1 - 3*t + t^2 - t^3 - 4*t^4 + 3*t^5 - 4*t^6 - t^7 + t^8 - 3*t^9 + t^10
4,310,2.916284825,8, 1 - 2*t - t^2 - 4*t^3 - t^4 - 4*t^5 - t^6 - 2*t^7 + t^8
4,312,2.922948542,8, 1 - 2*t - 3*t^2 + 3*t^4 - 3*t^6 - 2*t^7 + t^8
4,313,2.924092395,8, 1 - 3*t + 2*t^2 - 5*t^3 + t^4 - 5*t^5 + 2*t^6 - 3*t^7 + t^8
4,314,2.924271464,8, 1 - 3*t + 2*t^4 - 3*t^7 + t^8
