s0_level,index,value,degree,minimal_polynomial
3,147,2.49459,10,1-3 t+4 t^3-t^4-3 t^5-t^6+4 t^7-3 t^9+t^10
3,148,2.49716,8,1-3 t+2 t^2-2 t^3+t^4-2 t^5+2 t^6-3 t^7+t^8
3,149,2.49784,10,1-t-2 t^2-3 t^3-2 t^4-2 t^5-2 t^6-3 t^7-2 t^8-t^9+t^10
3,150,2.49955,8,1-2 t-3 t^3+t^4-3 t^5-2 t^7+t^8
3,151,2.50457,10,1-t-3 t^2-2 t^3+t^5-2 t^7-3 t^8-t^9+t^10
3,152,2.50986,10,1-3 t+t^2+t^3-2 t^4+3 t^5-2 t^6+t^7+t^8-3 t^9+t^10
3,153,2.51275,8,1-2 t-2 t^2+t^3+2 t^4+t^5-2 t^6-2 t^7+t^8
3,154,2.51454,6,1-2 t-3 t^3-2 t^5+t^6
3,155,2.52403,8,1-4 t+5 t^2-4 t^3+3 t^4-4 t^5+5 t^6-4 t^7+t^8
3,156,2.528,10,1-3 t+2 t^2-2 t^3-2 t^7+2 t^8-3 t^9+t^10
3,157,2.52993,8,1-2 t-t^2-t^3+t^4-t^5-t^6-2 t^7+t^8
3,158,2.53339,8,1-2 t-t^2-2 t^4-t^6-2 t^7+t^8
3,159,2.5345,8,1-t-2 t^2-3 t^3-3 t^4-3 t^5-2 t^6-t^7+t^8
3,160,2.53781,8,1-4 t+6 t^2-8 t^3+8 t^4-8 t^5+6 t^6-4 t^7+t^8
3,161,2.53814,10,1-2 t-2 t^2+t^3+t^4+t^5+t^6+t^7-2 t^8-2 t^9+t^10
3,162,2.54205,6,1-t-2 t^2-4 t^3-2 t^4-t^5+t^6
3,163,2.5471,8,1-3 t+t^2+t^4+t^6-3 t^7+t^8
3,164,2.55148,8,1-3 t+t^2+t^3-2 t^4+t^5+t^6-3 t^7+t^8
3,165,2.55531,8,1-3 t+t^2+2 t^3-5 t^4+2 t^5+t^6-3 t^7+t^8
3,166,2.55621,8,1-t-3 t^2-2 t^3-2 t^5-3 t^6-t^7+t^8
3,167,2.55854,8,1-3 t+2 t^2-3 t^3+3 t^4-3 t^5+2 t^6-3 t^7+t^8
3,168,2.55871,10,1-t-4 t^2-2 t^3+3 t^4+5 t^5+3 t^6-2 t^7-4 t^8-t^9+t^10
3,169,2.56159,8,1-3 t+2 t^2-2 t^3-2 t^5+2 t^6-3 t^7+t^8
4,170,2.56366,8,1-t-2 t^2-3 t^3-4 t^4-3 t^5-2 t^6-t^7+t^8
3,171,2.56627,8,1-2 t-2 t^2+4 t^4-2 t^6-2 t^7+t^8
3,172,2.56669,8,1-3 t+3 t^2-6 t^3+5 t^4-6 t^5+3 t^6-3 t^7+t^8
3,173,2.56858,8,1-2 t-2 t^2+t^3+t^4+t^5-2 t^6-2 t^7+t^8
3,174,2.57595,8,1-2 t-t^2-t^3-t^5-t^6-2 t^7+t^8
3,175,2.57892,10,1-4 t+4 t^2-3 t^4+3 t^5-3 t^6+4 t^8-4 t^9+t^10
3,176,2.58137,8,1-2 t-3 t^3-t^4-3 t^5-2 t^7+t^8
3,177,2.58255,10,1-4 t+5 t^2-5 t^3+6 t^4-7 t^5+6 t^6-5 t^7+5 t^8-4 t^9+t^10
3,178,2.58344,8,1-t-4 t^2-t^3+3 t^4-t^5-4 t^6-t^7+t^8
3,179,2.58798,8,1-t-3 t^2-2 t^3-t^4-2 t^5-3 t^6-t^7+t^8
3,180,2.58877,10,1-3 t+3 t^3+t^4-5 t^5+t^6+3 t^7-3 t^9+t^10
3,181,2.59145,8,1-t-2 t^2-3 t^3-5 t^4-3 t^5-2 t^6-t^7+t^8
3,182,2.59207,10,1-3 t+t^2+t^5+t^8-3 t^9+t^10
3,183,2.59425,10,1-3 t+t^2+t^3-2 t^4-2 t^6+t^7+t^8-3 t^9+t^10
3,184,2.59823,8,1-3 t^2-6 t^3-7 t^4-6 t^5-3 t^6+t^8
3,185,2.59981,10,1-2 t-2 t^2+t^3+t^4-2 t^5+t^6+t^7-2 t^8-2 t^9+t^10
3,186,2.60251,10,1-2 t-t^2-t^3-3 t^5-t^7-t^8-2 t^9+t^10
3,187,2.61803,2,1-3 t+t^2
4,188,2.62768,10,1-t-2 t^2-3 t^3-5 t^4-5 t^5-5 t^6-3 t^7-2 t^8-t^9+t^10
3,189,2.63236,10,1-t-4 t^2-3 t^3+3 t^4+7 t^5+3 t^6-3 t^7-4 t^8-t^9+t^10
4,190,2.63332,10,1-2 t-t^2-t^3-2 t^4+t^5-2 t^6-t^7-t^8-2 t^9+t^10
3,191,2.63697,10,1-2 t-2 t^2+t^4+3 t^5+t^6-2 t^8-2 t^9+t^10
3,192,2.63862,10,1-2 t-3 t^2+3 t^3+2 t^4-3 t^5+2 t^6+3 t^7-3 t^8-2 t^9+t^10
3,193,2.64155,10,1-3 t+t^2+t^4-4 t^5+t^6+t^8-3 t^9+t^10
3,194,2.643,10,1-3 t+t^2-2 t^4+5 t^5-2 t^6+t^8-3 t^9+t^10
3,195,2.64408,8,1-t-2 t^2-4 t^3-4 t^4-4 t^5-2 t^6-t^7+t^8
3,196,2.64593,10,1-3 t+3 t^3-t^4-t^5-t^6+3 t^7-3 t^9+t^10
3,197,2.64963,10,1-3 t-t^2+6 t^3-7 t^5+6 t^7-t^8-3 t^9+t^10
4,198,2.65345,8,1-2 t-4 t^3-4 t^5-2 t^7+t^8
